session_id,early_events,early_product_views,early_unique_categories,early_event_types,device_type,traffic_source,region,early_duration_min,converted
S00095,4,4,1,1,Mobile,Organic Search,West,3.933333333333333,0
S00096,4,3,1,2,Mobile,Social,North,4.233333333333333,0
S00097,4,4,2,1,Mobile,Organic Search,North,3.3833333333333333,0
S00098,4,4,1,1,Mobile,Social,Central,3.683333333333333,0
S00099,3,3,1,1,Desktop,Organic Search,West,4.433333333333334,0
S00100,3,2,1,2,Desktop,Social,West,4.2,0
S00101,3,3,2,1,Desktop,Direct,East,4.25,0
S00102,2,2,1,1,Mobile,Social,South,1.95,0
S00103,3,3,2,1,Desktop,Direct,Central,3.3,0
S00104,3,3,1,1,Mobile,Referral,West,3.1,0
S00105,2,2,1,1,Tablet,Organic Search,South,2.25,0
S00106,1,1,1,1,Desktop,Organic Search,Central,0.0,0
S00107,1,1,1,1,Mobile,Email,West,0.0,0
S00108,3,2,1,2,Mobile,Organic Search,South,1.8333333333333333,0
S00109,3,3,2,1,Desktop,Organic Search,East,2.9833333333333334,0
S00110,3,3,1,1,Desktop,Referral,North,3.9,0
S00111,3,3,2,1,Desktop,Referral,North,2.05,0
S00112,4,4,1,1,Desktop,Direct,West,4.483333333333333,0
S00113,3,3,1,1,Tablet,Referral,South,3.783333333333333,0
S00114,4,4,2,1,Mobile,Paid Search,Central,3.3333333333333335,0
S00115,3,2,1,2,Mobile,Direct,Central,4.75,1
S00116,3,3,2,1,Mobile,Paid Search,North,3.2,0
S00117,3,3,1,1,Mobile,Paid Search,East,4.1,0
S00118,5,3,2,3,Desktop,Referral,Central,4.5,0
S00119,1,1,1,1,Tablet,Direct,West,0.0,0
S00120,3,3,1,1,Mobile,Paid Search,West,1.95,0
S00121,3,3,2,1,Mobile,Organic Search,South,3.2333333333333334,0
S00122,1,1,1,1,Tablet,Organic Search,East,0.0,0
S00123,2,2,1,1,Desktop,Organic Search,East,0.7833333333333333,0
S00124,2,2,1,1,Desktop,Referral,Central,2.3,0
S00125,1,1,1,1,Desktop,Social,South,0.0,0
S00126,3,3,1,1,Mobile,Social,Central,4.066666666666666,0
S00127,3,3,1,1,Mobile,Email,South,3.316666666666667,1
S00128,2,2,1,1,Mobile,Direct,Central,2.1666666666666665,0
S00129,1,1,1,1,Desktop,Organic Search,West,0.0,0
S00130,2,2,1,1,Mobile,Direct,East,1.8333333333333333,0
S00131,4,4,1,1,Mobile,Direct,West,3.0,0
S00132,3,1,1,3,Desktop,Social,South,4.033333333333333,1
S00133,3,2,1,2,Desktop,Paid Search,South,2.0,0
S00134,4,4,1,1,Desktop,Organic Search,North,4.65,0
S00135,4,4,3,1,Tablet,Organic Search,North,3.9,0
S00136,2,2,1,1,Desktop,Organic Search,South,2.316666666666667,0
S00137,3,3,1,1,Mobile,Direct,West,4.05,0
S00138,2,1,1,2,Mobile,Referral,West,3.1333333333333333,1
S00139,2,2,1,1,Mobile,Paid Search,North,2.466666666666667,0
S00140,2,2,1,1,Tablet,Social,Central,2.3833333333333333,0
S00141,3,3,2,1,Tablet,Email,West,4.183333333333334,0
S00142,4,4,1,1,Desktop,Direct,Central,4.533333333333333,1
S00143,3,3,1,1,Mobile,Organic Search,West,3.466666666666667,0
S00144,2,1,1,2,Desktop,Social,North,2.45,0
S00145,3,3,2,1,Desktop,Social,East,4.7,0
S00146,3,3,1,1,Desktop,Organic Search,West,2.933333333333333,0
S00147,4,4,2,1,Mobile,Email,North,4.116666666666666,0
S00148,2,2,1,1,Mobile,Email,North,0.9333333333333333,0
S00149,3,3,1,1,Desktop,Paid Search,North,2.716666666666667,0
S00150,1,1,1,1,Desktop,Referral,South,0.0,0
S00151,2,2,1,1,Tablet,Paid Search,East,0.4,0
S00152,3,3,2,1,Desktop,Paid Search,East,3.5,0
S00153,4,4,1,1,Desktop,Organic Search,North,4.85,0
S00154,2,2,1,1,Mobile,Organic Search,West,0.45,0
S00155,3,3,1,1,Tablet,Organic Search,East,4.1,0
S00156,3,3,1,1,Desktop,Organic Search,South,2.9833333333333334,0
S00157,3,3,2,1,Mobile,Social,North,3.033333333333333,0
S00158,3,3,1,1,Mobile,Social,North,3.033333333333333,0
S00159,2,2,1,1,Desktop,Organic Search,South,2.566666666666667,0
S00160,3,3,1,1,Mobile,Social,North,3.8333333333333335,0
S00161,3,3,1,1,Mobile,Organic Search,South,4.566666666666666,0
S00162,3,3,1,1,Mobile,Direct,West,4.1,0
S00163,2,2,2,1,Mobile,Organic Search,East,2.3333333333333335,0
S00164,2,2,1,1,Mobile,Direct,South,0.7,0
S00165,3,3,2,1,Desktop,Direct,South,3.65,0
S00166,4,4,1,1,Mobile,Email,West,4.5,0
S00167,2,2,2,1,Desktop,Direct,Central,2.3333333333333335,1
S00168,4,4,4,1,Desktop,Referral,West,2.7333333333333334,0
S00169,2,2,2,1,Desktop,Organic Search,East,1.5833333333333333,0
S00170,3,3,2,1,Mobile,Organic Search,South,2.2666666666666666,0
S00171,2,2,1,1,Mobile,Organic Search,South,1.2333333333333334,0
S00172,3,3,1,1,Desktop,Paid Search,Central,3.4,0
S00173,2,2,2,1,Mobile,Organic Search,North,1.7,0
S00174,2,2,1,1,Desktop,Social,Central,2.066666666666667,0
S00175,4,3,2,2,Mobile,Email,West,2.7333333333333334,0
S00176,4,4,2,1,Desktop,Email,West,4.55,0
S00177,4,4,2,1,Mobile,Paid Search,North,2.8833333333333333,0
S00178,3,3,1,1,Mobile,Organic Search,West,4.083333333333333,0
S00179,4,4,1,1,Tablet,Organic Search,East,4.05,0
S00180,4,4,1,1,Desktop,Direct,North,4.033333333333333,1
S00181,3,3,2,1,Desktop,Paid Search,South,3.816666666666667,0
S00182,3,3,1,1,Desktop,Organic Search,Central,3.9833333333333334,0
S00183,2,2,2,1,Tablet,Organic Search,East,0.36666666666666664,0
S00184,3,3,2,1,Mobile,Referral,East,3.6,0
S00185,3,3,1,1,Desktop,Organic Search,North,4.733333333333333,0
S00186,2,2,1,1,Mobile,Social,West,0.43333333333333335,0
S00187,5,5,2,1,Mobile,Social,West,4.683333333333334,0
S00188,3,3,3,1,Mobile,Direct,West,3.2,0
S00189,3,3,1,1,Mobile,Organic Search,East,3.683333333333333,0
S00190,2,2,1,1,Desktop,Organic Search,East,2.8333333333333335,0
S00191,3,3,3,1,Desktop,Paid Search,East,1.1666666666666667,0
S00192,2,2,1,1,Tablet,Paid Search,South,2.25,0
S00193,3,3,1,1,Tablet,Social,Central,3.0,0
S00194,3,3,2,1,Mobile,Referral,East,4.066666666666666,0
S00195,3,3,1,1,Desktop,Paid Search,South,4.1,0
S00196,2,2,2,1,Desktop,Organic Search,East,2.5,0
S00197,3,2,1,2,Mobile,Organic Search,Central,4.383333333333334,1
S00198,1,1,1,1,Tablet,Social,North,0.0,0
S00199,3,3,2,1,Tablet,Organic Search,South,1.7833333333333334,0
S00200,3,3,1,1,Mobile,Organic Search,West,3.55,0
S00201,4,4,2,1,Mobile,Paid Search,South,3.7333333333333334,1
S00202,4,4,1,1,Desktop,Direct,West,3.933333333333333,0
S00203,4,4,1,1,Desktop,Referral,North,4.85,0
S00204,1,1,1,1,Tablet,Paid Search,West,0.0,0
S00205,4,4,2,1,Mobile,Organic Search,North,4.216666666666667,0
S00206,5,5,1,1,Desktop,Referral,North,4.616666666666666,0
S00207,4,4,1,1,Desktop,Direct,Central,4.45,0
S00208,3,3,1,1,Mobile,Direct,East,3.9,0
S00209,2,2,1,1,Desktop,Direct,South,0.9333333333333333,0
S00210,3,3,2,1,Desktop,Organic Search,South,4.616666666666666,0
S00211,3,2,1,2,Mobile,Email,West,4.55,0
S00212,3,3,2,1,Mobile,Organic Search,East,4.0,0
S00213,4,4,2,1,Mobile,Direct,Central,3.0833333333333335,0
S00214,3,2,2,2,Desktop,Direct,Central,4.75,0
S00215,4,4,2,1,Mobile,Social,West,4.033333333333333,0
S00216,2,1,1,2,Desktop,Social,East,1.9666666666666666,0
S00217,3,3,2,1,Desktop,Organic Search,East,4.783333333333333,0
S00218,3,3,1,1,Mobile,Direct,West,3.75,0
S00219,4,4,2,1,Mobile,Direct,North,4.25,0
S00220,2,1,1,2,Mobile,Organic Search,South,2.45,0
S00221,3,3,1,1,Mobile,Social,North,4.45,0
S00222,2,2,1,1,Mobile,Paid Search,North,1.3833333333333333,0
S00223,4,4,1,1,Desktop,Organic Search,North,3.433333333333333,0
S00224,3,3,1,1,Mobile,Direct,East,4.016666666666667,0
S00225,2,2,1,1,Desktop,Organic Search,West,2.3,0
S00226,4,4,2,1,Desktop,Paid Search,East,3.85,0
S00227,1,1,1,1,Tablet,Organic Search,South,0.0,0
S00228,3,3,2,1,Mobile,Referral,North,1.1666666666666667,0
S00229,4,3,3,2,Tablet,Social,East,4.783333333333333,0
S00230,4,4,2,1,Mobile,Direct,South,4.4,0
S00231,3,3,2,1,Mobile,Paid Search,West,4.733333333333333,0
S00232,3,3,1,1,Mobile,Referral,Central,3.1333333333333333,0
S00233,1,1,1,1,Mobile,Paid Search,North,0.0,0
S00234,3,3,2,1,Mobile,Organic Search,South,1.7333333333333334,0
S00235,4,4,2,1,Desktop,Direct,East,4.366666666666666,0
S00236,3,3,1,1,Mobile,Social,Central,2.566666666666667,0
S00237,2,2,1,1,Desktop,Paid Search,West,1.9166666666666667,1
S00238,3,3,1,1,Desktop,Paid Search,Central,2.8833333333333333,0
S00239,3,3,2,1,Mobile,Social,South,2.6166666666666667,0
S00240,4,3,1,2,Desktop,Referral,Central,4.383333333333334,0
S00241,1,1,1,1,Tablet,Referral,North,0.0,0
S00242,2,2,1,1,Tablet,Organic Search,North,1.65,0
S00243,3,3,1,1,Tablet,Paid Search,Central,3.6166666666666667,0
S00244,1,1,1,1,Mobile,Social,Central,0.0,0
S00245,3,2,1,2,Desktop,Social,North,4.65,0
S00246,3,3,1,1,Tablet,Paid Search,North,4.516666666666667,0
S00247,3,3,1,1,Mobile,Organic Search,North,4.183333333333334,0
S00248,4,4,2,1,Tablet,Social,North,4.116666666666666,0
S00249,2,2,1,1,Tablet,Social,South,1.2166666666666666,0
S00250,3,3,1,1,Mobile,Organic Search,Central,4.15,0
S00251,3,3,2,1,Desktop,Email,West,4.266666666666667,0
S00252,4,4,1,1,Mobile,Organic Search,West,3.816666666666667,0
S00253,3,3,1,1,Mobile,Direct,West,4.85,0
S00254,5,5,2,1,Desktop,Organic Search,East,4.35,0
S00255,3,3,2,1,Desktop,Direct,West,4.066666666666666,1
S00256,3,3,1,1,Mobile,Paid Search,East,3.433333333333333,0
S00257,5,3,1,3,Tablet,Paid Search,South,4.733333333333333,0
S00258,1,1,1,1,Mobile,Paid Search,East,0.0,0
S00259,1,1,1,1,Mobile,Social,East,0.0,0
S00260,1,1,1,1,Desktop,Organic Search,Central,0.0,0
S00261,3,3,2,1,Mobile,Organic Search,Central,2.466666666666667,0
S00262,3,3,1,1,Tablet,Social,East,2.3333333333333335,0
S00263,2,2,1,1,Desktop,Organic Search,West,2.433333333333333,0
S00264,2,2,1,1,Mobile,Referral,North,2.7,0
S00265,2,2,2,1,Mobile,Social,West,0.6166666666666667,0
S00266,4,3,2,2,Mobile,Email,South,3.8,0
S00267,2,2,1,1,Mobile,Referral,North,2.3333333333333335,0
S00268,4,4,1,1,Mobile,Organic Search,South,1.9833333333333334,0
S00269,2,2,2,1,Desktop,Direct,West,1.1666666666666667,0
S00270,4,4,3,1,Desktop,Paid Search,North,3.75,0
S00271,2,2,2,1,Mobile,Direct,Central,2.3666666666666667,0
S00272,3,3,2,1,Mobile,Referral,North,3.5833333333333335,0
S00273,4,4,1,1,Mobile,Organic Search,Central,4.466666666666667,0
S00274,3,3,1,1,Tablet,Paid Search,West,3.7333333333333334,0
S00275,1,1,1,1,Mobile,Paid Search,South,0.0,0
S00276,2,2,1,1,Mobile,Paid Search,South,2.933333333333333,0
S00277,2,2,1,1,Mobile,Direct,West,2.6666666666666665,0
S00278,3,3,1,1,Mobile,Direct,West,3.3833333333333333,0
S00279,3,3,2,1,Mobile,Social,West,4.333333333333333,0
S00280,3,3,1,1,Mobile,Organic Search,South,3.7666666666666666,0
S00281,2,2,1,1,Tablet,Social,East,1.3166666666666667,0
S00282,4,4,3,1,Desktop,Paid Search,Central,4.683333333333334,0
S00283,4,4,2,1,Mobile,Social,South,2.3666666666666667,0
S00284,3,3,1,1,Desktop,Social,East,2.816666666666667,0
S00285,2,2,2,1,Mobile,Organic Search,South,2.6166666666666667,0
S00286,1,1,1,1,Desktop,Paid Search,West,0.0,0
S00287,4,4,1,1,Mobile,Social,West,5.0,1
S00288,3,3,1,1,Mobile,Email,South,3.1166666666666667,0
S00289,2,2,2,1,Desktop,Referral,North,2.716666666666667,0
S00290,4,3,2,2,Mobile,Email,North,2.283333333333333,0
S00291,3,3,2,1,Desktop,Organic Search,East,3.55,0
S00292,1,1,1,1,Desktop,Direct,East,0.0,0
S00293,2,2,1,1,Mobile,Referral,Central,0.6,0
S00294,3,3,1,1,Mobile,Direct,East,3.316666666666667,0
S00295,2,2,1,1,Desktop,Social,South,2.4833333333333334,0
S00296,3,3,2,1,Mobile,Referral,Central,2.966666666666667,0
S00297,3,3,1,1,Mobile,Direct,East,3.25,1
S00298,2,2,1,1,Desktop,Organic Search,East,2.9166666666666665,0
S00299,3,3,2,1,Mobile,Social,North,3.466666666666667,1
S00300,2,2,1,1,Desktop,Direct,South,0.43333333333333335,0
S00301,1,1,1,1,Desktop,Social,Central,0.0,0
S00302,4,4,1,1,Mobile,Email,East,3.5833333333333335,0
S00303,3,3,1,1,Mobile,Email,South,3.2,0
S00304,3,3,2,1,Mobile,Social,West,2.783333333333333,0
S00305,3,3,2,1,Mobile,Direct,Central,4.016666666666667,0
S00306,3,3,1,1,Tablet,Email,South,2.9,0
S00307,2,2,2,1,Mobile,Direct,East,2.683333333333333,0
S00308,3,3,2,1,Desktop,Direct,Central,3.05,0
S00309,4,4,3,1,Mobile,Email,North,4.483333333333333,0
S00310,3,3,2,1,Desktop,Social,West,3.183333333333333,0
S00311,3,3,1,1,Mobile,Direct,West,3.566666666666667,0
S00312,2,2,1,1,Desktop,Email,West,1.8666666666666667,0
S00313,3,3,1,1,Desktop,Paid Search,South,1.6,0
S00314,3,3,2,1,Tablet,Direct,South,2.0833333333333335,0
S00315,2,2,2,1,Mobile,Direct,West,0.43333333333333335,0
S00316,2,2,2,1,Mobile,Referral,South,2.7,0
S00317,2,2,1,1,Mobile,Social,East,1.5833333333333333,0
S00318,3,3,2,1,Desktop,Paid Search,North,4.866666666666666,0
S00319,3,3,1,1,Desktop,Paid Search,North,4.233333333333333,0
S00320,2,2,1,1,Desktop,Organic Search,Central,2.816666666666667,0
S00321,2,2,2,1,Mobile,Paid Search,East,2.466666666666667,1
S00322,4,4,1,1,Mobile,Email,Central,4.85,0
S00323,2,2,1,1,Mobile,Paid Search,North,0.6166666666666667,0
S00324,4,4,1,1,Desktop,Direct,East,4.166666666666667,1
S00325,4,4,2,1,Tablet,Organic Search,South,4.65,0
S00326,3,2,1,2,Mobile,Organic Search,West,2.5166666666666666,0
S00327,3,3,1,1,Mobile,Referral,West,2.9,0
S00328,1,1,1,1,Mobile,Direct,North,0.0,0
S00329,3,3,1,1,Mobile,Email,Central,3.3333333333333335,0
S00330,2,2,1,1,Desktop,Organic Search,North,1.9833333333333334,0
S00331,1,1,1,1,Desktop,Organic Search,West,0.0,0
S00332,3,2,1,2,Mobile,Social,Central,3.8,0
S00333,3,3,1,1,Desktop,Paid Search,Central,2.75,0
S00334,3,3,1,1,Desktop,Email,Central,2.2666666666666666,0
S00335,2,1,1,2,Desktop,Organic Search,South,0.5833333333333334,0
S00336,5,5,1,1,Desktop,Social,North,4.516666666666667,0
S00337,3,3,2,1,Mobile,Organic Search,North,4.383333333333334,0
S00338,2,2,1,1,Mobile,Organic Search,East,2.9833333333333334,0
S00339,4,4,1,1,Mobile,Email,West,4.75,0
S00340,3,3,1,1,Desktop,Direct,North,3.2333333333333334,0
S00341,3,3,1,1,Mobile,Organic Search,West,4.316666666666666,0
S00342,2,2,1,1,Mobile,Paid Search,South,2.45,0
S00343,3,3,1,1,Desktop,Paid Search,South,2.8666666666666667,0
S00344,2,2,1,1,Mobile,Social,West,2.4166666666666665,0
S00345,3,3,1,1,Mobile,Direct,East,4.0,0
S00346,3,3,1,1,Mobile,Organic Search,Central,1.0166666666666666,0
S00347,4,4,1,1,Mobile,Direct,North,3.8833333333333333,0
S00348,2,2,1,1,Desktop,Referral,West,2.0166666666666666,0
S00349,2,2,1,1,Mobile,Paid Search,North,1.9833333333333334,0
S00350,1,1,1,1,Mobile,Paid Search,North,0.0,0
S00351,2,2,1,1,Mobile,Organic Search,West,2.1666666666666665,0
S00352,3,3,1,1,Mobile,Email,Central,3.5166666666666666,0
S00353,2,1,1,2,Mobile,Organic Search,South,2.466666666666667,1
S00354,3,3,1,1,Desktop,Paid Search,South,4.216666666666667,0
S00355,4,4,1,1,Desktop,Referral,East,2.65,0
S00356,3,3,1,1,Mobile,Referral,South,3.533333333333333,0
S00357,3,3,1,1,Desktop,Paid Search,Central,1.7,0
S00358,4,4,2,1,Mobile,Email,West,3.7333333333333334,0
S00359,1,1,1,1,Tablet,Referral,North,0.0,0
S00360,3,2,1,2,Mobile,Paid Search,East,3.8333333333333335,0
S00361,4,4,1,1,Mobile,Organic Search,West,4.183333333333334,0
S00362,2,2,1,1,Mobile,Email,South,1.4666666666666666,0
S00363,3,3,1,1,Mobile,Organic Search,West,3.85,0
S00364,3,3,1,1,Mobile,Email,North,3.3,0
S00365,4,4,2,1,Tablet,Email,West,2.8833333333333333,0
S00366,3,3,1,1,Mobile,Paid Search,North,3.6166666666666667,0
S00367,2,2,2,1,Tablet,Direct,Central,2.033333333333333,0
S00368,2,2,1,1,Tablet,Organic Search,South,2.95,0
S00369,4,4,1,1,Desktop,Email,South,4.366666666666666,0
S00370,3,3,1,1,Desktop,Social,Central,2.6,0
S00371,3,2,2,2,Desktop,Paid Search,North,2.45,0
S00372,2,1,1,2,Desktop,Direct,South,3.466666666666667,0
S00373,3,3,1,1,Desktop,Referral,South,4.583333333333333,0
S00374,1,1,1,1,Mobile,Referral,South,0.0,0
S00375,2,2,2,1,Desktop,Organic Search,Central,2.8333333333333335,0
S00376,3,3,2,1,Desktop,Organic Search,West,4.083333333333333,0
S00377,3,2,2,2,Mobile,Social,North,3.0833333333333335,0
S00378,2,2,1,1,Desktop,Social,West,2.2333333333333334,0
S00379,3,3,2,1,Mobile,Referral,East,3.8,0
S00380,3,3,2,1,Desktop,Referral,Central,4.533333333333333,0
S00381,2,2,1,1,Desktop,Paid Search,South,0.7,0
S00382,2,2,1,1,Mobile,Paid Search,East,0.36666666666666664,0
S00383,4,4,2,1,Mobile,Organic Search,East,4.0,0
S00384,3,3,1,1,Mobile,Organic Search,East,4.116666666666666,0
S00385,3,3,1,1,Mobile,Email,East,3.75,0
S00386,2,2,2,1,Mobile,Paid Search,South,2.783333333333333,0
S00387,3,3,2,1,Desktop,Paid Search,West,4.35,0
S00388,3,3,1,1,Desktop,Social,East,2.85,0
S00389,2,2,1,1,Mobile,Direct,Central,0.95,0
S00390,4,4,1,1,Mobile,Paid Search,South,3.5833333333333335,0
S00391,3,3,1,1,Tablet,Organic Search,West,4.583333333333333,0
S00392,3,3,2,1,Mobile,Direct,Central,2.8333333333333335,0
S00393,4,4,1,1,Mobile,Social,West,3.9,0
S00394,4,4,2,1,Mobile,Paid Search,Central,3.8833333333333333,0
S00395,2,2,2,1,Desktop,Referral,Central,2.6333333333333333,0
S00396,2,2,1,1,Tablet,Direct,South,1.1333333333333333,0
S00397,3,3,1,1,Mobile,Email,West,3.75,0
S00398,2,2,1,1,Mobile,Direct,North,1.55,0
S00399,2,2,2,1,Mobile,Email,East,0.6166666666666667,0
S00400,3,3,2,1,Mobile,Social,South,3.6666666666666665,0
S00401,3,3,1,1,Desktop,Paid Search,West,2.433333333333333,0
S00402,2,2,1,1,Tablet,Referral,East,1.65,0
S00403,3,3,3,1,Mobile,Organic Search,East,3.6333333333333333,0
S00404,2,2,1,1,Mobile,Social,South,2.9833333333333334,0
S00405,2,2,2,1,Desktop,Organic Search,Central,2.4,0
S00406,5,5,1,1,Tablet,Referral,North,4.45,0
S00407,3,3,2,1,Mobile,Direct,North,3.283333333333333,0
S00408,1,1,1,1,Desktop,Direct,South,0.0,0
S00409,4,4,2,1,Tablet,Email,Central,3.5833333333333335,0
S00410,2,2,2,1,Desktop,Referral,Central,1.5,0
S00411,2,1,1,2,Desktop,Organic Search,West,0.8166666666666667,0
S00412,3,3,2,1,Tablet,Direct,Central,4.1,0
S00413,3,3,1,1,Tablet,Social,South,4.533333333333333,0
S00414,3,3,2,1,Mobile,Direct,Central,4.716666666666667,0
S00415,4,4,2,1,Mobile,Organic Search,North,3.95,0
S00416,3,3,2,1,Mobile,Direct,North,4.866666666666666,0
S00417,3,3,1,1,Desktop,Direct,North,3.7,0
S00418,3,2,1,2,Desktop,Referral,East,2.85,0
S00419,2,2,1,1,Mobile,Social,West,0.5333333333333333,0
S00420,3,2,1,2,Mobile,Email,South,4.233333333333333,0
S00421,3,3,1,1,Mobile,Referral,Central,3.283333333333333,0
S00422,3,3,1,1,Mobile,Email,East,3.85,0
S00423,3,3,1,1,Desktop,Organic Search,North,2.683333333333333,0
S00424,5,4,3,2,Mobile,Direct,East,4.083333333333333,1
S00425,2,2,2,1,Desktop,Email,West,2.55,0
S00426,4,4,1,1,Mobile,Organic Search,Central,3.05,0
S00427,2,1,1,2,Mobile,Referral,East,3.85,0
S00428,3,3,2,1,Tablet,Social,East,3.4,0
